SKU,ModelNumber,Sell,MSRP
S23185,ART308FFDM,721,
S22692,WH46DBH500EV,1317,2699
S22960,SF7007WE,4399,
19626,KDTM604KPS,1169,
21543,WDT730HAMZ,528,
14482,ADB1400AGB,329,
14483,ADB1400AGS,369,
14484,ADB1400AGW,499,0
S22999,ADB1400AMS,443,
20945,ADB1400AMW,499,0
14485,ADB1500ADS,549,
18243,SGX68U55UC,0,792
S22691,SHE3AEM2N,0,0
S22689,SHE3AEM5N,649,
S22690,SHE3AEM6N,0,0
15909,SHE3AR72UC,0,417
16059,SHE3AR75UC,0,494
16088,SHE3AR76UC,0,378
S24349,SHE41CM2N,0,0
S23171,SHE41CM5N,0,531
S23354,SHE53C82N,949,
S23485,SHE53C85N,999,
21831,SHE53C86N,0,0
18778,SHEM3AY55N,464,699
18408,SHEM3AY56N,0,386
16380,SHEM63W55N,949,0
18341,SHEM63W56N,899,
21866,SHP65CM2N,1099,
S22489,SHP65CM5N,1249,
S22647,SHP65CM6N,1099,
S24321,SHP65D5MN,925,1399
S23031,SHP78CM4N,1449,
21639,SHP78CM5N,,0
S24357,SHP78DM5N,0,1
15952,SHP865WD2N,0,658
15910,SHP865WD5N,0,716
16128,SHP865ZD5N,999,0
15953,SHP878WD2N,0,740
15994,SHP878ZD5N,0,927
19499,SHP878ZP5N,1399,
19345,SHPM65Z55N,1099,0
20079,SHPM65Z56N,999,
19269,SHPM78W54N,1299,
16116,SHPM78Z54N,1049,
19331,SHPM78Z55N,1299,
19777,SHPM88Z75N,1499,0
15935,SHS863WD6N,699,
20111,SHSM63W55N,0,757
15925,SHSM63W56N,0,0
21342,SHV78B73UC,,0
18404,SHV878ZD3N,1199,
S24133,SHV9PCM3N,1999,
19357,SHVM63W53N,0,678
S22963,SHVM78Z53N,1499,
19879,SHX3AR75UC,899,
21579,SHX78B75UC,,0
21840,SHX78CM4N,0,0
21591,SHX78CM5N,,3
S23775,SHX78DM5N,1449,0
16379,SHX878WD5N,0,749
20110,SHXM4AY55N,0,643
19437,SHXM4AY56N,0,547
16405,SHXM63W55N,999,
19568,SPE68B55UC,772,999
19825,USEDXDF350PSRSS,400,
20700,XDF250PGRBB,325,399
19021,XDF300PGNBB,322,449
18493,XDF300PGNWW,499,
19385,XDF350PRRBB,499,
19394,XDF350PRRSS,549,
19393,XDF350PRRWW,499,
19645,XDF350PSRSS,569,0
18504,DDW1804EB,0,358.25
14486,DDW1804EW,499,
20066,DDW18D1ESS,0,454.75
20280,DDW18D1EW,0,436.25
14487,DD24DCTX9N,1899,0
14488,DD24DCTXPN,1369,
18445,DD24DDFTX9,0,1751.22
14489,DD24DI9N,1159,
18339,DD24DTI9,1399,
22315,DD24DTI9 N,1481.22,1899
S23064,DD24DTX6I1,,0
S23009,DD24DTX6PX1,2649,
18338,DD24DV2T9,1599,0
14490,DD24SCTX9N,789,
14491,DD24SI9N,999,0
21531,FDPC4221AW,349,
21559,FDPC4314AS,579,
22257,FDPC4314AW,529,
S22649,FDPH4316AB,0,344
S22563,FDPH4316AD,0,438
19318,FDSH4501AS,599,
21852,FFBD1831US,799,
19549,FFBD1831UW,749,
21538,FFBD2420UB,0,604
15838,FFCD2413US,399,
20243,FFCD2418UB,529,0
14492,FFCD2418US,499,0
20244,FFCD2418UW,929,0
20062,FFID2426TB,0,418
14493,FFID2426TD,579,
15844,FFID2426TS,0,347
16137,FFID2459VS,699,
14494,FGID2466QF,599,
19663,FGID2468UD,829,0
17919,FGID2468UF,779,0
20722,FGID2479SD,899,
14495,FGID2479SF,849,
18029,FGIP2468UD,0,749
20552,FGIP2479SF,0,434
14496,FPID2498SF,999,
S23380,GDSH4715AF,899,
S23645,PDSH4816AF,999,
S22879,CDD420P4TW2,1499,
S22531,CDT828P2VS1,1199,
14497,CDT836P4MW2,1299,
21633,CDT845P3ND1,1499,
20920,CDT845P4NW2,1999,0
S23079,CDT858P3VD1,1499,
S22371,CDT858P4VW2,1499,
21476,CDT875P2NS1,1799,
18282,CDT875P3ND1,1599,
22256,CDT888P2VS1,1799,
S23951,CDT888P3VD1,1949,
S23949,CDT888P4VW2,1949,
S24250,GDF450PGRBB,469,
